Blog	how	be	interesting	months	ago	video	made	its	way	around	internet	as	some	do	was	t	most	us	already	know	about	great	are	often	different	but	all	there	or	something	bit	why	so	he	an	called	their	get	people	attention	others	don	found	become	because	they	true	i	were	into	what	really	bad	thing	good	not	them	thought	instead	wrong	we	had	isn	new	his	up	million	only	has	another	over	might	first	youtube	ever	when	years	been	doing	year	both	if	look	makes	things	think	can	many	ve	now	re	love	m	took	d	long	our	time	put	much	take	keep	out	just	go	through	idea	need	little	com	media	b	your	like	making	than	even	got	still	work	would	world	book	business	show	should	me	share	more	run	design	life	system	where	by	story	have	no	said	him	down	recently	few	team	question	company	did	come	every	person	wrote	told	small	actually	big	following	day	everyone	own	via	amazon	site	online	next	week	spent	hours	during	one	getting	else	since	then	help	never	make	such	want	words	case	may	saying	future	real	yet	didn	important	ll	feel	will	latest	each	create	open	please	free	give	find	too	always	say	she	my	see	her	use	support	app	also	working	part	project	writing	blog	talk	lot	any	better	between	well	space	which	less	looking	after	today	old	school	nothing	here	very	clear	back	two	name	change	right	twitter	short	started	hit	finally	away	whole	u	doesn	does	someone	other	play	game	those	who	later	home	night	job	enough	money	wanted	tv	won	done	being	while	tech	off	talking	apple	google	customers	sure	place	ways	tell	going	end	saw	left	results	state	let	three	web	using	these	went	probably	could	last	times	gets	used	hard	top	month	page	days	before	says	th	report	shows	account	september	same	past	again	email	perhaps	co	though	almost	without	phone	best	second	once	likely	point	myself	set	high	watch	live	read	whether	post	trump	president	man	houston	news	pay	am	cool	data	face	kind	government	harvey	especially	white	stop	buy	college	press	morning	special	according	number	full	several	record	easy	content	everything	nbsp	security	against	program	camera	american	facebook	series	house	hurricane	ready	america	appeared
Daily Kos	31	108	2	8	8	4	14	20	14	4	2	93	21	19	79	81	18	20	12	9	59	9	73	8	4	77	39	33	77	9	5	10	50	103	53	5	57	21	60	2	3	18	10	9	28	72	10	70	24	32	45	12	5	6	8	73	25	6	3	9	56	33	8	33	77	43	21	20	82	15	22	24	18	1	3	37	14	44	12	25	16	46	14	4	7	15	43	19	17	27	18	2	12	7	12	16	28	33	10	19	17	8	40	42	12	13	6	12	10	5	6	0	19	31	7	40	30	10	17	18	39	8	1	3	5	17	22	1	47	5	0	5	5	15	75	9	80	26	45	19	21	3	14	3	4	0	10	14	15	8	5	7	10	7	6	3	21	7	18	4	0	1	5	11	20	1	5	12	52	5	6	17	15	14	9	17	2	9	4	11	9	2	8	7	8	12	3	6	4	43	4	6	2	8	2	3	14	7	11	3	18	27	25	15	23	3	11	2	17	5	11	2	1	2	4	7	18	13	7	12	3	35	8	3	38	10	9	2	5	22	9	6	18	18	4	16	24	8	8	2	5	7	8	6	12	11	13	3	26	1	2	26	67	7	9	5	9	10	22	1	0	11	6	12	21	1	24	4	0	0	0	7	9	2	4	13	16	2	3	3	48	9	9	0	1	14	7	8	21	15	6	1	6	7	11	5	1	7	14	3	2	0	5	3	10	12	11	13	0	4	2	8	3	11	1	10	5	8	11	9	1	1	14	5	9	3	7	8	135	29	3	16	13	4	2	1	9	4	4	19	23	3	45	6	1	3	5	3	4	13	9	3	6	2	3	2	4	0	19	6	7	2	11	1	3	29	19	1	10	3
Deadspin	0	2	0	0	1	0	1	0	1	1	0	6	0	2	9	0	1	3	1	1	2	0	10	1	0	2	7	4	6	1	0	0	2	5	2	3	0	1	0	3	0	0	0	0	0	2	1	6	0	0	2	3	1	1	1	3	0	0	0	0	3	2	0	5	7	7	1	0	3	0	0	0	2	0	1	4	0	1	1	5	0	1	0	0	1	1	5	1	1	1	0	2	1	1	0	1	4	2	0	1	0	1	4	2	1	0	1	0	1	1	2	1	6	3	0	1	2	0	0	0	1	2	0	0	3	1	2	0	29	0	0	0	2	2	4	0	3	1	0	0	0	0	1	6	0	0	2	0	1	0	0	0	0	0	1	0	3	0	0	1	1	2	0	1	2	0	0	2	4	1	0	1	0	2	0	0	1	3	0	0	0	1	2	1	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	3	1	0	0	0	1	2	1	3	4	2	0	0	3	0	0	3	0	0	0	3	2	0	1	0	0	0	1	1	0	1	0	1	0	3	1	4	0	1	4	0	0	1	0	2	0	1	0	1	0	2	0	0	0	0	1	1	0	1	0	0	0	2	0	2	1	1	1	0	2	0	0	0	3	2	1	0	0	1	0	0	0	2	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	4	3	0	1	4	0	1	0	0	0	25	2	0	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	3	1	0	0	2	0	0
Engadget RSS Feed	3	2	0	0	0	1	2	14	0	1	0	9	1	0	3	5	2	4	1	2	4	0	3	0	0	10	2	1	1	0	0	0	4	0	3	0	3	2	0	1	0	0	1	0	0	1	0	0	5	1	5	0	0	0	1	2	1	0	0	0	4	0	2	5	0	2	4	3	16	0	3	4	7	0	0	1	0	5	0	1	2	0	0	0	1	0	7	1	1	7	1	0	0	0	0	1	1	6	0	2	0	2	2	1	1	0	1	0	0	0	0	0	5	1	1	4	0	0	2	2	1	1	0	1	3	0	0	0	3	1	1	0	1	0	5	0	3	3	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	1	1	1	0	0	7	1	0	2	0	1	0	3	1	0	0	0	1	0	2	0	0	0	0	1	0	2	3	1	0	2	0	0	0	0	0	0	1	1	0	3	0	1	4	0	2	0	2	1	0	0	1	0	0	1	0	1	2	3	0	0	3	2	0	0	1	2	0	0	0	0	1	1	0	0	0	0	2	4	0	1	0	1	0	0	1	2	1	1	0	0	4	1	1	0	1	0	0	0	1	0	1	3	3	0	3	0	2	0	0	0	1	1	0	0	2	0	0	1	0	1	3	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	3	0	0	0	3	0	1	0	0	0	0	0	1	0	2	3	0	0	1	1	0	1	0	2	0	0	1	1	0	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	2	2	1	1	1	0	1	0	0	2	1	0	1	0	0	3	0	0
Gothamist	0	8	0	1	1	0	3	2	2	0	0	10	3	2	13	10	3	4	0	0	1	0	8	1	0	7	3	3	5	3	0	0	3	6	6	2	4	4	2	1	0	6	2	0	4	6	0	3	3	6	3	0	0	1	1	4	3	0	0	0	3	0	0	12	15	10	3	2	10	2	3	1	3	4	1	3	2	4	1	7	1	4	0	0	1	0	8	1	1	6	2	1	2	0	1	6	1	3	0	3	2	0	8	4	1	3	0	0	2	0	2	0	8	8	1	7	4	3	3	1	4	1	2	0	1	3	1	0	47	1	0	3	0	0	13	3	8	0	1	0	1	0	1	0	0	2	1	2	0	1	0	1	0	1	2	2	13	0	0	0	0	0	0	0	2	0	0	4	12	1	1	0	8	3	1	3	3	1	0	0	0	0	0	2	0	2	0	1	0	11	0	0	0	0	0	2	0	0	1	1	4	1	1	0	4	5	0	0	6	0	1	2	0	0	0	1	0	2	0	2	4	5	3	1	6	4	3	2	0	6	4	2	2	3	0	1	1	5	0	1	3	1	2	1	0	1	0	0	3	0	1	2	11	1	4	3	0	1	3	0	0	0	3	4	3	0	0	0	0	0	0	0	0	0	0	0	5	1	3	0	3	1	3	0	0	4	0	4	3	3	0	1	0	0	5	1	0	0	1	3	2	1	1	0	0	0	1	0	0	0	2	1	1	1	3	2	0	0	1	0	0	0	2	0	2	0	2	1	1	1	8	2	2	0	0	3	0	0	1	0	3	0	0	0	1	0	3	4	0	1	1	2	0	0	0	0	0	20	0	1	1	0	3	4	0	4	3	0	0	0
The Full Feed from HuffingtonPost.com	0	0	0	0	0	0	4	2	0	1	0	5	1	1	6	5	3	0	0	1	2	0	2	0	0	4	1	0	2	0	0	0	2	2	1	0	1	1	0	0	0	2	0	2	0	2	0	1	7	1	4	0	1	1	2	2	0	0	0	0	1	4	0	1	5	0	0	0	1	0	0	0	6	0	0	0	1	3	0	1	0	3	1	0	0	0	3	0	1	1	2	0	1	0	5	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	2	2	1	0	0	1	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	6	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	4	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	6	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	2	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	1	0	3	0	0	0	0
Joho the Blog	0	2	0	0	0	0	0	0	0	0	8	2	1	1	1	2	0	0	0	0	4	0	2	1	0	1	0	2	3	0	1	0	0	4	3	0	0	0	0	0	0	0	0	0	1	1	0	14	0	0	0	0	0	2	0	7	0	0	0	1	0	0	0	2	1	1	0	0	3	0	1	0	12	0	0	0	0	1	0	0	1	0	0	0	0	2	2	1	0	0	0	0	1	0	1	0	1	2	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	1	0	0	2	0	0	0	4	0	0	0	1	0	0	1	0	0	1	1	9	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	11	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	10
Joel on Software	1	1	0	0	1	1	0	0	0	0	0	2	2	2	3	0	0	0	0	2	3	0	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	0	2	0	1	1	0	0	0	5	0	0	6	0	0	2	0	1	0	0	0	1	0	0	0	3	4	1	1	0	2	2	0	0	0	0	0	1	1	2	0	3	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kotaku	0	4	0	0	0	2	2	1	0	2	0	10	7	1	1	8	2	2	0	0	2	1	3	0	0	5	2	2	3	0	1	0	2	0	1	0	3	1	0	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	2	4	1	0	1	0	2	0	1	7	1	1	0	0	6	0	1	2	2	0	2	2	1	2	0	4	0	1	2	0	0	0	8	0	1	1	0	0	0	1	0	2	1	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	2	0	0	1	0	2	2	0	3	0	1	1	1	0	1	29	0	1	2	0	0	3	0	0	1	0	0	0	1	3	1	0	0	0	1	3	0	0	0	0	0	0	0	4	1	1	0	1	0	0	0	1	0	0	0	5	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0	1	2	2	2	0	0	0	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	7	0	1	0	0	0	0	1	1	0	3	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	3	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	7	1	2	0	0	0	2	0	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0
kottke.org	19	42	3	4	5	34	5	8	19	4	1	43	24	10	91	33	14	22	3	10	37	12	36	1	5	55	16	26	23	10	2	7	26	37	34	4	19	12	16	2	3	11	1	3	17	24	5	123	24	7	33	3	3	6	8	41	16	2	3	3	34	15	5	15	34	19	1	9	20	9	13	3	8	0	8	18	15	14	5	17	7	17	5	7	8	9	28	7	13	11	8	2	17	4	6	1	17	26	2	12	4	1	28	8	10	12	3	4	5	1	5	6	12	29	5	22	13	6	6	4	13	21	11	1	4	6	12	0	25	5	4	3	0	10	59	10	31	21	11	8	5	5	4	2	1	1	8	1	7	7	2	5	4	3	2	3	3	0	8	6	2	1	0	3	6	2	5	13	42	2	2	9	7	2	4	7	1	6	2	4	6	4	0	1	0	3	3	3	6	15	1	8	0	3	1	2	2	2	10	1	6	24	30	16	19	1	2	0	20	1	6	1	3	0	2	2	5	6	5	8	4	21	1	3	13	1	3	4	3	22	11	5	18	13	2	7	14	2	6	4	2	2	0	1	3	4	7	1	12	6	7	4	17	5	2	2	2	5	0	3	7	1	2	7	7	0	11	1	0	0	2	2	9	5	0	3	5	7	3	1	1	6	4	0	0	8	4	3	7	17	8	2	3	2	5	0	1	4	20	6	3	5	2	2	3	7	8	4	0	4	0	2	7	4	2	9	3	3	2	2	3	3	5	2	2	13	0	3	1	5	8	1	2	4	1	5	2	1	2	4	4	0	13	2	3	4	2	1	2	2	4	2	4	0	2	0	4	256	0	4	1	3	6	0	6	4	3	1	2	3
Lifehack	22	9	0	1	0	0	0	0	2	0	0	1	0	1	1	4	2	2	0	0	5	0	10	0	0	2	0	1	3	0	0	4	0	0	2	0	3	5	8	0	4	0	2	0	1	2	0	8	2	0	3	0	0	1	6	1	1	1	0	0	4	0	0	1	1	2	0	4	2	0	0	0	22	0	4	4	1	2	1	1	0	4	0	0	1	1	15	1	2	3	2	0	3	0	0	0	4	3	1	0	0	0	2	1	2	1	0	3	0	0	0	0	15	0	0	1	2	0	0	4	0	0	0	0	1	0	2	0	3	0	0	4	0	1	3	0	5	0	0	0	0	0	1	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	2	2	5	0	1	0	0	2	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	5	2	1	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	6	3	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	0	1	0	0	0	0	0	20	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	20
Lifehacker	11	3	0	0	1	0	2	1	2	3	0	11	5	3	5	5	7	1	1	3	4	4	9	0	1	10	4	4	4	1	1	1	3	0	4	0	1	2	3	0	0	1	1	0	1	3	1	14	1	0	8	4	0	2	0	4	1	1	0	1	5	2	0	5	0	5	0	0	4	0	5	1	3	0	1	4	3	2	0	0	0	1	1	1	1	0	5	2	3	6	3	1	0	0	1	4	4	3	1	2	0	1	5	2	1	0	0	0	0	0	1	0	11	1	2	4	1	0	4	1	2	1	0	0	0	2	0	2	30	0	0	0	0	2	0	0	6	1	0	0	1	1	2	1	2	1	1	0	3	0	0	0	1	0	0	0	9	2	1	0	3	0	0	0	4	0	0	2	5	1	2	1	1	0	2	2	0	1	0	0	3	0	0	0	2	1	0	2	0	5	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	3	1	3	3	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	4	0	0	0	2	0	0	2	1	1	0	0	0	0	2	1	0	3	2	2	2	1	0	0	1	0	1	0	3	0	0	1	2	0	1	0	0	6	0	0	0	0	1	1	2	0	0	0	1	0	0	1	0	4	0	3	2	3	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	1	5	0	0	3	0	1	1	1	1	1	26	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	1	0	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	1	1	0	0	0	1	1	0	2	2	1	5	3	0	4	0	1	6	1	3	0	0	3	0	0	3	0	0	0	1	3	2	1	2	3	4	0	0	0	0	0	1	2	0	21	0	0	1	1	0	0	1	1	2	0	0	0	2	0	0	0	0	0	0	0	3	1	2	1	0	0	0	0	2	2	0	3	0	1	0	0	0	0	2	1	4	2	3	0	0	2	1	0	0	1	0	1	1	1	1	3	2	1	0	0	2	0	1	0	5	3	1	0	0	0	1	1	1	2	0	0	0	1	1	0	2	0	0	0	0	0	0	0	2	1	0	0	0	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	6	1	0	0	1	0	2	1	1	2	0	3	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	7	0	0	0	0	2	0	1	0	1	0	0	0	1	3	0	1	1	0	1	3	0	0	0	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
mezzoblue	2	1	0	1	0	1	0	1	2	0	1	4	1	0	1	4	1	0	0	0	1	0	0	0	0	4	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	12	0	1	1	0	0	0	0	2	2	2	0	0	0	0	0	3	0	0	0	0	1	0	4	0	1	0	1	2	3	3	1	0	0	2	0	0	0	0	1	0	6	1	1	0	1	0	1	2	1	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	1	3	0	1	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neil Gaiman's Journal	21	103	2	7	28	7	14	6	11	7	5	62	37	40	111	56	10	24	2	9	47	2	66	2	8	50	51	56	62	21	19	4	60	55	43	6	19	34	46	2	3	15	5	2	32	45	2	439	21	16	36	22	5	20	24	58	43	8	8	0	52	42	8	41	40	38	3	20	20	9	23	4	24	2	10	26	22	30	27	44	3	63	7	4	50	9	48	16	31	28	12	15	65	9	22	11	9	36	16	25	13	7	56	21	23	11	6	12	9	31	4	4	22	44	7	12	30	22	11	24	38	17	68	0	6	12	63	5	35	2	4	9	0	22	71	8	71	11	15	21	5	0	13	2	1	1	19	5	3	7	13	4	6	8	6	2	13	9	8	4	6	0	7	11	7	6	10	4	47	10	2	5	28	10	11	27	10	15	10	4	9	2	0	2	6	11	1	22	7	56	1	8	1	1	3	4	7	13	19	6	2	11	82	19	12	0	4	1	11	4	6	1	26	11	5	15	12	6	7	12	0	35	7	2	12	5	13	1	2	41	18	1	22	24	4	5	10	3	6	10	1	3	12	6	0	2	6	9	17	1	0	5	51	6	3	10	2	2	18	7	8	5	13	9	11	0	10	12	1	2	0	11	6	2	8	27	2	2	6	2	0	8	8	0	3	14	21	8	19	21	9	4	3	8	0	5	8	23	17	1	19	1	2	0	2	9	2	3	3	5	10	5	10	3	1	7	5	4	3	1	6	10	4	9	4	23	2	7	0	0	11	3	2	8	20	1	0	0	10	0	0	4	2	2	3	3	3	3	2	1	3	1	5	1	1	1	3	320	0	1	4	0	29	5	7	3	5	5	3	1
Oilman	3	2	1	2	1	0	0	0	1	1	0	4	3	0	1	4	1	0	2	2	2	0	1	0	0	2	1	0	2	0	1	3	4	0	0	1	1	1	4	0	1	2	0	0	0	1	0	26	1	1	4	5	0	0	1	2	0	0	0	0	5	2	0	3	0	3	0	1	1	0	1	2	0	0	0	1	1	2	0	1	1	2	0	2	0	2	0	2	2	2	3	2	1	0	0	0	1	1	0	3	1	0	1	2	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	1	2	0	0	0	1	0	4	0	2	0	0	1	0	0	4	1	4	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	1	0	0	0	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	6	2	0	1	0	0	1	0	1	0	1	2	0	1	1	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PerezHilton	0	3	0	0	0	2	2	0	1	0	0	1	4	0	6	3	0	0	0	0	0	0	2	0	0	3	0	1	4	0	1	0	0	0	2	0	1	1	1	0	0	0	0	0	0	2	0	0	1	0	2	1	0	1	1	1	1	0	0	0	1	2	0	4	4	0	0	1	2	1	0	0	0	0	0	2	1	2	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1	3	1	2	1	1	1	1	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	1	2	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	2	0	1	4	0	0	8	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	2	1	2	0	0	1	3	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	1	0	0	0	3	2	0	1	0	4	0	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	2	0
plasticbag.org	1	5	0	1	1	0	1	1	1	0	0	5	6	1	3	5	2	2	0	2	4	1	4	0	0	1	6	2	1	1	1	0	1	1	0	1	0	5	4	0	0	1	0	0	0	1	0	16	0	1	0	0	0	0	0	0	3	0	0	0	4	1	0	2	1	2	0	0	1	1	2	0	0	0	1	0	2	2	1	1	0	1	1	0	1	1	1	2	3	1	2	0	0	1	1	0	0	3	1	1	2	0	1	0	0	2	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	10	0	3	1	0	0	1	1	3	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	0	1	0	0	0	2	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	1	0	5	1	0	1	0	0	0	0	0	0	2	0	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	6	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
